Name,Path,Title,Summary,K1,K2,K3,K4,K5
1,articles/1.txt,The Effects of Misoprostol on Surgical Abortion," Misoprostol is widely used for cervical preparation before surgical abortion (vacuum aspiration) The drug is effective, easy to use, cheap and widely available . A new study, published online in The Lancet, reports that major complications during early surgical abortions are reduced by nearly a third in comparison with placebo .",misoprostol,abortion,cervical,uterine,cervix
10,articles/10.txt,Pregnancy and Pregnancies after an induced abortion," Research suggests that abortions do not affect fertility, and the risks associated with both types are relatively low . Most of the time, women who have had abortions can go on to have healthy pregnancies . The risks from a medical abortion appears to be lower than that of a surgical abortion . A surgical abortion involves removing the fetus with suction and a tool called a curette . To avoid pregnancy soon after an abortion, use contraception . After an abortion, many doctors recommend waiting until the bleeding ends before having sex again . Some doctors advise waiting until at least one menstrual period has come and gone . In some cases, it is necessary to delay having sex for longer, especially if the abortion took place later in the pregnancy or if there were complications .",abortion,pregnancy,abortions,contraception,fertility
1000,articles/1000.txt,"Candida auris infection is not always easy to identify, and a lab test is the only guaranteed way to diagnose it"," Candida auris is a type of fungus that transmits to humans . It is one of the few Candida strains that can affect humans, and infections can be severe or fatal . The symptoms of a C. auris infection are not always easy to identify, and a lab test is the only guaranteed way to diagnose the issue . People with Candida may shed the fungus through their skin cells . Candida auris is a type of fungus that can transmit to humans . While C. auris infections are serious, most are treatable . Treatment begins with antifungal drugs called echinocandins . Strains that become resistant to treatment may lead to more severe infections . Healthy people are not likely to contract the infection .",auris,fungi,fungus,candida,antifungal
1001,articles/1001.txt,New research suggests that a multidrug resistant fungus may have emerged as a result of global warming," Candida auris (C. auris) is a drug resistant species of fungus . The multidrug resistant fungus has caused outbreaks in five different continents . Genetic analyses revealed that genetically different clades of the fungus emerged simultaneously in three distinct geographical locations: the Indian subcontinent, Venezuela, and South Africa .",fungal,fungi,fungus,candida,microbiology
1002,articles/1002.txt,"Using a mouse model of UTI, researchers found that triclosan could have the opposite effect and make bacteria more rather than less resilient to antibiotic treatment"," Triclosan is an antibacterial compound present in everyday household and personal-care products . Manufacturers add the chemical to these products because they believe it kills bacteria that could make people unwell . New research now suggests that the chemical might have the opposite effect and make bacteria more resilient to antibiotics . Triclosan mice had 100 times more bacteria in the urine of triclosans-treated mice . Ciprofloxacin is the most common antibiotic used to treat UTIs . The researchers wanted to investigate the mechanisms that mediate the effects . They found that tricrosan “ collaborates ” with a small molecule called ppGpp, which inhibits cell growth .",triclosan,antibacterial,antimicrobial,antibiotic,antibiotics
1003,articles/1003.txt,Antibiotic prescribing is a key strategy in addressing the major public health problem of antibiotic resistance," Up to 43% of ambulatory care antibiotic prescriptions in the US are potentially inappropriate, study finds . The need for strong stewardship is a key strategy in addressing the major public health problem of antibiotic resistance . Antibiotic or antimicrobial resistance is the ability of bacteria, fungi, and other germs to survive the drugs that are supposed to kill them . An estimated 24 million antibiotic prescriptions were written without a documented indication . Adult males were the patients most likely to receive an antibiotic prescription lacking a documented reason . Adults with long-lasting conditions and those seeing a specialist were the most likely patients to be prescribed without a medical indication .",prescription,antibiotic,prescribing,ambulatory,antimicrobial
1004,articles/1004.txt,The Antibiotic Activity of Microbes that Live on Insects," Scientists at the University of Wisconsin-Madison have carried out the largest and most thorough investigation ever into the antibiotic activity of microbes that live on insects . Antibiotic resistance arises when infectious bacteria, fungi, and other pathogens no longer succumb to drugs that used to kill them . A lack of new antibiotics is contributing to the growing global threat of antibiotic-resistant infections . More than 2,500 species of insect, ranging from ants, bees, and flies, to beetles, moths, butterflies, and more . Researchers studied more than 10,000 strains of Streptomyces bacteria to test . They found strains that came from insects were able to fight infectious bacteria and fungi more powerfully than strains from soil or plants .",antimicrobial,antibiotic,microbiomes,cyphomycin,antifungal
1005,articles/1005.txt,"Scientists are worried about the fast development and spread of “superbugs, ” which are bacteria that do not respond to antibiotics"," Researchers are worried about the fast development and spread of “ superbugs, ” which are bacteria that do not respond to antibiotics . For the first time, scientists have found potent superbugs in the remote High Arctic of Norway . Such potent bacteria are reportedly responsible for thousands of deaths each year, both across Europe and in the United States . Scientists wanted to find out which of the antibiotic-resistant genes were native, i. e. occurring naturally in the region, and which ones may have “traveled ” to the Arctic from other parts of the world . Researchers believe some of the resistant genes passed from one bacterium to another via a process called “ lateral gene transfer, ” in which bacteria that birds and other vectors carry passed from feces into the water .",superbug,antibiotic,bacterial,bacteria,bacterium
1006,articles/1006.txt,"A new study has found that many common drugs — including those that treat diabetes, digestive problems, bacterial infections, and even depression — could actually predispose people to certain types of infection by affecting the balance of their gut microbiome"," A new study from the University Medical Center Groningen and the Maastricht University Medical . Center, both in the Netherlands, has found evidence to suggest that many common drugs — from antibiotics to antidepressants — have a significant impact on the gut microbiome . This, the researchers say, could increase a person’s risk of developing intestinal infections and other health problems, including obesity .",microbiome,microbiota,antimicrobial,antibiotic,prescription
1007,articles/1007.txt,Antibiotic Resistance is a global public health crisis," Antibiotic resistance poses a serious threat to public health, both in the United States and globally . 80 percent of the total antibiotic use in the US is in agriculture, with pigs and poultry receiving five to 10 times more antibiotics than cows and sheep . Using antibiotics in animals may raise the risk of transmitting drug-resistant bacteria to humans either by direct infection or by transferring “ resistance genes from agriculture into human pathogens . Many farms give chicks antibiotics as soon as they are born, regardless of whether they are ill or not . The weaning practices that take place in farms influence the animals’ microbiome and create a false need for antibiotics . Abrupt “weaning ” weaning has also been found to raise the risk of gastrointestinal disease in calves and lambs . Nicola Evans: Antibiotics in animals and humans can affect human health . Evans: ""Any single time antibiotics are used, whether in animals or humans, you risk selecting for drug-resistant bacteria"" She says the risk of human antibiotic resistance in humans is very low due to high cooking temperatures .",antibiotics,antimicrobial,antibiotic,pathogen,microbiome
1008,articles/1008.txt,The Effect of cigarette smoke on Staphylococcus aureus (S. aureus)," New research analyzes the effect of cigarette smoke on MRSA strains and finds that it makes the bacteria more persistent, more invasive, and more resistant to certain antibiotics . Methicillin-resistant S. aureus (MRSA) causes 94,360 invasive infections each year in the US and about 18,650 people die .",staphylococcus,tobacco,smoking,aureus,mrsa
1009,articles/1009.txt,How an insect-derived antibiotic can destroy the protective membrane of some of the most prevalent drug-resistant bacteria," In the United States, antibiotic resistance causes over 2 million illnesses and 23,000 deaths each year . The five most common drug-resistant bacteria are: Escherichia coli, Klebsiella pneumoniae, Staphylococcus aureus, Streptococcus pneumoniae and Salmonella . Scientists at the University of Zurich found that thanatin, a naturally occurring antibiotic produced by an insect, can attack the external membranes of Gram-negative bacteria .",antimicrobial,antibiotic,bacterial,pathogen,bacterium
101,articles/101.txt,How To Manage Asthma Symptoms," Around 9% of people in the United States had asthma in 2017 . Asthma is a chronic condition that affects the airways and can make it hard to breathe . Several triggers include exposure to an allergen or irritant, viruses, exercise, emotional stress, and other factors . The symptoms include tightness in the chest, wheezing, breathlessness, coughing, increased mucus production . Research suggests that around 5–10% of people with asthma have severe asthma . Eosinophilic asthma is another type of asthma that, in severe cases, may not respond to the usual medications . Smoking during pregnancy appears to increase the risk of the fetus developing asthma later in life . Cigarette smoking can trigger asthma symptoms, according to the American Lung Association . There is evidence to suggest that asthma runs in families . Around 5. 5% of males and 9. 7% of females have asthma . Asthma is a chronic inflammatory condition that causes swelling in the airways . It can affect people of any age, and the symptoms can range from mild to severe . In most cases, effective treatment is available that can help a person live a full and active life . People can keep a log of their symptoms and possible triggers to help the doctor make an accurate diagnosis .",asthma,bronchitis,wheezing,inhales,airway
